screen_name,betweenness_centrality,degree_in,followers_count,group,belongs_to,profile_image_url
networkADM,198.3,19,132,3,SCOREProject,http://a0.twimg.com/profile_images/1784870528/networks-web--ball-image_normal.jpg
SofiaAnysiadou,27.401,3,22,3,SCOREProject,http://a0.twimg.com/profile_images/1227667481/Untitled_normal.png
TELTS_,13.083,7,43,0,ukoer,http://a0.twimg.com/profile_images/1195202778/DSC_0041_normal.jpg
Whatopencando,3.0455,2,14,4,ukoer,http://a0.twimg.com/profile_images/1879216753/Afbeelding1_normal.png
dwaynecoin,0,1,9,1,ukoer,http://a0.twimg.com/profile_images/1202613423/Wayne_coyne_normal.png
plugjam,5.6284,5,35,4,ukoer,http://a0.twimg.com/profile_images/491403474/pjpete_normal.jpg
TraceydeBeer,112.44,18,33,4,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1283802143/profilepicture_normal.jpg
crustyburger,0,0,21,4,SCOREProject,http://a0.twimg.com/profile_images/1785581506/image_normal.jpg
VISUALARTNET,0,0,35,4,SCOREProject,http://a0.twimg.com/profile_images/1723488736/icon_FSEA_normal.jpg
patrickbellis,76.129,21,91,0,ukoer,http://a0.twimg.com/profile_images/1258501314/pb11-2_normal.jpg
DMUViv,239.54,20,87,1,ukoer,http://a0.twimg.com/profile_images/1662743896/Viv_Riverside1_normal.jpg
WLV_Blended,84.071,10,97,3,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1136086687/blu_normal.jpg
ocwnews,635.83,75,1496,4,ukoer,http://a0.twimg.com/profile_images/1144504184/OCWC_button_NEW_normal.JPG
MsHatken,0.49486,2,16,2,ukoer,http://a0.twimg.com/profile_images/400616296/Gillian_normal.jpg
ProfMikeKelly,27.383,13,185,3,SCOREProject,http://a0.twimg.com/profile_images/481273503/RIL-358_normal.jpg
peterkilcoyne,0,0,71,0,ukoer,http://a0.twimg.com/profile_images/1434942093/dmd_normal.jpg
doctorjen,57.444,9,42,3,ukoer,http://a0.twimg.com/profile_images/51587689/lucy_normal.jpg
arqmmorales,0,0,14,4,ukoer,http://a0.twimg.com/profile_images/1381704546/yo_twitter_png_normal.png
ttelwort,74.667,7,30,1,ukoer,http://a0.twimg.com/profile_images/569561310/Rainbow_cow_normal.JPG
brussxkne7,0,0,5,4,SCOREProject,http://a0.twimg.com/profile_images/1689616794/imagesCAQJOQYR_normal.jpg
annikacoughlin,0.99501,4,45,1,ukoer,http://a0.twimg.com/profile_images/1123664190/annikacoffee_normal.jpg
SarahCutforth,48.513,8,15,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1675221577/Snapshot_of_me_1_normal.png
